,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.6436363636363636,0.6454183266932271,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.5865580448065173,0.6035502958579881,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.6654867256637169,0.5750528541226215,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.6150627615062761,0.625,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.6215139442231075,0.6612244897959185,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.6436363636363636,0.6454183266932271,0.062384279941796045,0.012250476697209389,0.36741068657563714,0.42692926486779226,0.555621304212368,0.398074352757757,0.5208718334592021,0.42729682328953805,0.5762498242955816
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.5865580448065173,0.6035502958579881,0.03449130246448455,0.007249513125690594,0.2998690767369995,0.3623889726198426,0.4871176581398312,0.40128924480244493,0.5217034059483369,0.39930552782080725,0.5464041811919971
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.6654867256637169,0.5750528541226215,0.032188862430383804,0.01050862727361257,0.3737194635868902,0.41002991809368705,0.5415614969526852,0.391240014065082,0.4975527914636806,0.41723462230101976,0.5569315163107362
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.6150627615062761,0.625,0.014497734363564291,0.008237578798331098,0.49448551204594376,0.41892430654842405,0.5701354572579495,0.40578234191037704,0.5144504354962349,0.44628837210934574,0.5859731464324083
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.6215139442231075,0.6612244897959185,0.05987952027538154,0.005964121237300891,0.41266647901453996,0.403814089315856,0.5272189466836534,0.39968857645640016,0.5212078162604378,0.42870248531424937,0.5717820536507083
